Chromosome Length: 5
Population Size: 100
Mutation Probability: 0.050000
Crossover Probability: 0.750000
Elitism Rate: 0.050000
Recombination Rate: 0.200000
Additional Parameters:
-crossover_ratio: 0.000000
-gene_mutation_rate: 0.150000
-range_max: 600.000000
-range_min: -600.000000
-relative_mutation_size: 0.050000
-tournament_size: 3.000000


Test size: 100000
Snapshot Period: 2000
Evaluations: 100000


FITNESS STATS:
Evaluations;Average;Standard Deviation;Min;Q1;Median(Q2);Q3;Max
26000;4648.756348;3956.241943;0.000000;1722.498901;3862.139404;6679.039063;52708.890625
28000;4615.232910;3927.137451;0.000000;1718.484863;3827.309082;6611.554688;60076.265625
30000;4599.034668;3884.266113;0.000000;1731.991699;3848.809570;6582.477539;59292.820313
32000;4582.370605;3862.990234;0.000000;1717.737793;3819.976074;6597.980957;59169.429688
34000;4544.438965;3825.196777;0.000000;1672.262939;3789.675537;6551.793945;55814.058594
36000;4541.147461;3799.230469;0.000000;1692.659546;3799.406982;6517.851563;51719.933594
38000;4543.861328;3778.239258;0.000000;1720.966675;3811.086426;6535.259766;60295.878906
40000;4525.442383;3762.214600;0.000000;1716.263916;3799.260742;6505.654297;57941.925781
42000;4475.674316;3727.375488;0.000000;1671.876953;3758.847656;6456.157227;57959.476563
44000;4491.901367;3728.219238;0.000000;1671.311157;3779.873047;6476.830078;65166.457031
46000;4489.961426;3740.437988;0.000000;1677.855591;3766.846191;6482.023926;65486.917969
48000;4470.941895;3700.479248;0.000000;1670.844849;3764.512451;6461.528320;73168.421875
50000;4443.007813;3709.481689;0.000000;1623.645508;3723.740723;6437.216797;103440.851563
52000;4468.490234;3685.410889;0.000000;1674.189453;3759.366455;6455.588867;43500.636719
54000;4465.309570;3668.836670;0.000000;1679.037354;3753.952148;6461.215332;58281.476563
56000;4436.005371;3649.013916;0.000000;1656.907104;3731.665527;6422.334961;41494.562500
58000;4442.151855;3641.087891;0.000000;1670.026001;3751.251709;6430.187500;50805.460938
60000;4433.901855;3630.821289;0.000000;1671.086182;3733.058594;6422.413086;47443.656250
62000;4426.138672;3631.197266;0.000000;1661.721680;3728.353516;6408.627930;50743.277344
64000;4429.740723;3643.554443;0.000000;1653.538452;3735.197754;6417.736328;56979.171875
66000;4423.717285;3633.693848;0.000000;1649.628784;3745.504395;6404.522949;71484.679688
68000;4416.007813;3635.121582;0.000000;1643.307617;3729.187744;6409.174805;61125.894531
70000;4425.580566;3626.696777;0.000000;1643.708740;3746.659180;6415.046387;47230.878906
72000;4394.310059;3622.159424;0.000000;1630.752197;3707.717041;6353.588379;61337.605469
74000;4407.341309;3617.424316;0.000000;1651.060547;3720.000977;6393.527832;58454.039063
76000;4407.855469;3611.187988;0.000000;1651.175659;3711.849609;6394.010742;43794.324219
78000;4407.564941;3616.135986;0.000000;1637.835449;3723.664063;6373.022461;43462.402344
80000;4382.012695;3592.933105;0.000000;1625.325684;3695.223633;6370.983398;52919.613281
82000;4395.028320;3602.888672;0.000000;1637.174805;3717.437500;6392.919922;59974.542969
84000;4400.391602;3585.429688;0.000000;1656.617676;3721.048340;6381.840820;56072.089844
86000;4392.596680;3593.189453;0.000000;1639.994019;3708.047852;6364.188477;49254.140625
88000;4371.943848;3580.188477;0.000000;1617.583496;3680.250977;6337.164063;44612.042969
90000;4379.245605;3571.664063;0.000000;1640.740967;3709.200195;6366.405273;58739.992188
92000;4365.998535;3575.542236;0.000000;1617.863647;3694.421387;6350.499023;49261.289063
94000;4370.887207;3568.594727;0.000000;1622.805298;3700.693115;6348.753906;55782.617188
96000;4364.153809;3552.439209;0.000000;1638.192505;3698.901367;6338.706055;71356.453125
98000;4370.310547;3573.407959;0.000000;1614.899902;3694.109863;6351.644043;44575.730469
100000;4377.939453;3576.259766;0.000000;1634.254150;3690.467773;6354.450195;49768.144531
